year,BG,DE,ES,FR,IE,IT,EU27 Average
1960,30.3,34.4,29.6,,29.8,31.2,31.45555555555556
1961,30.6,34.4,,,29.8,31.4,31.993750000000002
1962,30.9,34.5,29.6,,29.6,31.6,31.71875
1963,31.1,34.4,29.8,,29.3,31.8,31.75
1964,31.5,34.4,30.0,,29.0,32.0,31.8125
1965,31.8,34.3,30.2,,28.7,32.1,31.783333333333335
1966,32.2,34.2,30.4,,28.3,32.2,31.8625
1967,32.5,34.0,30.4,,28.1,32.3,32.088235294117645
1968,32.8,34.0,30.3,,27.9,32.4,31.835294117647063
1969,33.0,34.0,30.2,,27.6,32.6,31.852941176470587
1970,33.2,34.0,30.2,,27.4,32.7,31.99090909090909
1971,33.3,34.3,30.1,,27.2,32.8,32.17142857142857
1972,33.4,34.4,30.0,,27.1,33.1,32.15714285714286
1973,33.5,34.6,29.9,,27.0,33.2,32.17142857142857
1974,33.6,34.8,30.0,,26.9,33.4,32.22857142857143
1975,33.6,35.2,30.0,,26.8,33.4,32.11818181818182
1976,33.7,35.6,30.1,,26.7,33.5,32.21818181818182
1977,33.8,36.1,30.2,,26.6,33.5,32.31818181818182
1978,33.8,36.4,30.3,,26.6,33.6,32.42272727272727
1979,34.0,36.7,30.5,,26.5,33.7,32.57272727272727
1980,34.1,36.8,30.7,,26.5,33.8,32.55217391304348
1981,34.3,36.9,30.8,,26.5,34.1,32.86363636363637
1982,34.5,37.1,31.0,,26.6,34.4,32.81666666666667
1983,34.7,37.1,31.2,,26.7,34.8,33.17391304347826
1984,34.9,37.3,31.5,,26.9,35.1,33.291666666666664
1985,35.1,37.4,31.7,,27.2,35.4,33.396
1986,35.5,37.6,32.0,,27.7,35.7,33.729166666666664
1987,35.7,37.7,32.3,,27.7,36.0,33.949999999999996
1988,35.9,38.2,32.6,,28.1,36.3,34.18333333333333
1989,36.0,38.3,33.0,,28.6,36.6,34.420833333333334
1990,36.5,38.1,33.4,,29.1,36.9,34.552
1991,36.8,37.6,33.7,34.7,29.4,37.2,34.76923076923077
1992,37.1,37.7,34.1,35.0,29.7,37.6,35.034615384615385
1993,37.5,37.8,34.4,35.3,30.1,37.9,35.30384615384615
1994,37.8,38.0,34.8,35.6,30.4,38.2,35.56923076923077
1995,38.0,38.2,35.2,35.9,30.8,38.5,35.83846153846154
1996,38.3,38.5,35.6,36.2,31.1,38.9,36.11923076923077
1997,38.5,38.7,36.0,36.5,31.5,39.2,36.38461538461539
1998,38.7,39.1,36.4,36.8,31.8,39.4,36.67307692307692
1999,38.9,39.4,36.8,37.0,32.2,39.7,36.94615384615385
2000,39.1,39.8,37.2,37.3,32.4,40.1,37.23076923076923
2001,39.3,40.2,37.6,37.6,32.6,40.4,37.58518518518518
2002,40.3,40.6,37.9,37.9,32.8,40.7,37.9
2003,40.6,40.9,38.1,38.1,33.0,41.1,38.18888888888888
2004,40.9,41.4,38.3,38.4,33.3,41.3,38.46296296296296
2005,41.2,41.8,38.6,38.6,33.5,41.6,38.74814814814815
2006,41.5,42.3,38.8,38.9,33.5,41.9,39.08148148148148
2007,41.7,42.8,39.0,39.1,33.3,42.3,39.34814814814815
2008,41.9,43.2,39.2,39.3,33.4,42.6,39.64074074074074
2009,42.0,43.7,39.4,39.6,33.6,42.9,39.911111111111104
2010,42.2,44.2,39.9,39.8,34.0,43.3,40.18888888888888
2011,42.5,44.7,40.3,40.0,34.5,43.7,40.4962962962963
2012,42.7,45.0,40.8,40.3,35.0,44.0,40.7962962962963
2013,43.3,45.4,41.3,40.6,35.4,44.4,41.092592592592595
2014,43.7,45.6,41.8,40.7,35.8,44.7,41.3962962962963
2015,44.2,45.9,42.3,41.0,36.2,45.2,41.666666666666664
2016,44.6,45.8,42.7,41.2,36.5,45.6,41.911111111111104
2017,45.0,45.9,43.2,41.4,36.9,46.0,42.181481481481484
2018,45.4,46.0,43.5,41.6,37.3,46.4,42.43333333333334
2019,45.8,46.0,43.9,41.8,37.7,46.8,42.670370370370364
2020,46.3,45.9,44.2,41.9,38.0,47.2,42.88148148148148
2021,46.4,45.9,44.6,42.0,38.4,47.6,43.129629629629626
2022,46.7,45.8,45.1,42.1,38.8,48.0,43.351851851851855
2023,46.8,45.7,45.3,42.3,39.1,48.4,43.425925925925924
2024,47.1,45.5,45.6,42.6,39.4,48.7,43.592592592592595
2025,47.3,45.5,45.8,42.8,39.6,49.1,43.81481481481482
