Country,Natural Growth,Net Migration
AT,-1.2281151903917018,5.4
BE,-0.23846806355808567,7.2
BG,-7.3397159963701695,6.1
CY,3.3010301490637595,10.6
CZ,-2.5595027042201064,3.4
DE,-3.9618580056124153,5.4
DK,0.0013420006444958095,5.3
EE,-4.412640841151476,1.0
EL,-5.551783945741248,6.4
ES,-2.435453369257047,11.8
FI,-2.5958934311422626,8.3
FR,0.2524563268102488,2.2
HR,-4.922621037414354,8.1
HU,-5.134367774562327,0.4
IE,3.534777203648723,12.8
IT,-4.75935468871855,4.1
LT,-6.364412238715877,8.0
LU,2.958113235622349,11.7
LV,-7.358369811772323,-2.5
MT,0.3425368670832719,18.7
NL,-0.3356194318635149,6.0
PL,-4.279569874855855,0.9
PT,-3.1703823951857406,13.4
RO,-5.340479565939582,3.7
SE,0.6807429357164675,2.7
SI,-2.180372504236213,5.4
SK,-1.4074544761753074,0.4
