geo,year,median_age,dep_ratio,median_age_f,median_age_m,gender_gap
AT,1960,35.5,73.1,37.9,32.3,5.600000000000001
AT,1961,35.5,72.5,38.1,32.2,5.899999999999999
AT,1962,35.5,72.7,38.2,32.2,6.0
AT,1963,35.3,73.5,38.3,32.0,6.299999999999997
AT,1964,35.2,74.5,38.4,31.9,6.5
AT,1965,35.1,75.7,38.4,31.7,6.699999999999999
AT,1966,34.9,77.8,38.2,31.4,6.800000000000004
AT,1967,34.7,79.3,38.1,31.1,7.0
AT,1968,34.5,79.9,38.0,30.8,7.199999999999999
AT,1969,34.2,81.0,37.8,30.6,7.199999999999996
AT,1970,33.9,82.0,37.6,30.6,7.0
AT,1971,33.6,82.7,37.3,30.8,6.4999999999999964
AT,1972,33.3,83.5,37.0,30.9,6.100000000000001
AT,1973,33.4,83.8,36.6,31.1,5.5
AT,1974,33.6,83.9,36.3,31.2,5.099999999999998
AT,1975,33.9,84.4,36.2,31.3,4.900000000000002
AT,1976,34.1,84.6,36.4,31.5,4.899999999999999
AT,1977,34.3,84.0,36.7,31.6,5.100000000000001
AT,1978,34.4,83.3,36.9,31.6,5.299999999999997
AT,1979,34.6,82.4,37.2,31.8,5.400000000000002
AT,1980,34.7,81.3,37.4,32.0,5.399999999999999
AT,1981,34.6,79.3,37.4,32.2,5.199999999999996
AT,1982,34.6,76.7,37.4,32.2,5.199999999999996
AT,1983,34.8,74.0,37.4,32.4,5.0
AT,1984,35.0,71.2,37.3,32.5,4.799999999999997
AT,1985,35.1,69.4,37.5,32.6,4.899999999999999
AT,1986,35.2,68.2,37.6,32.8,4.800000000000004
AT,1987,35.3,67.2,37.8,32.9,4.899999999999999
AT,1988,35.5,66.4,37.9,33.1,4.799999999999997
AT,1989,35.6,65.5,38.0,33.3,4.700000000000003
AT,1990,35.6,64.7,38.0,33.4,4.600000000000001
AT,1991,35.6,64.0,37.9,33.5,4.399999999999999
AT,1992,35.6,63.5,37.7,33.6,4.100000000000001
AT,1993,35.7,63.1,37.7,33.8,3.9000000000000057
AT,1994,35.9,63.0,37.8,34.1,3.6999999999999957
AT,1995,36.1,63.1,38.0,34.4,3.6000000000000014
AT,1996,36.5,63.2,38.2,34.8,3.4000000000000057
AT,1997,36.8,63.3,38.5,35.3,3.200000000000003
AT,1998,37.2,63.3,38.8,35.7,3.0999999999999943
AT,1999,37.5,63.2,39.1,36.1,3.0
AT,2000,37.9,62.9,39.4,36.6,2.799999999999997
AT,2001,38.3,62.4,39.8,37.0,2.799999999999997
AT,2002,38.8,61.7,40.1,37.5,2.6000000000000014
AT,2003,39.1,61.0,40.4,37.8,2.6000000000000014
AT,2004,39.4,60.7,40.7,38.2,2.5
AT,2005,39.7,61.3,41.0,38.5,2.5
AT,2006,40.1,62.1,41.3,38.9,2.3999999999999986
AT,2007,40.5,62.6,41.7,39.3,2.4000000000000057
AT,2008,40.9,62.7,42.1,39.7,2.3999999999999986
AT,2009,41.2,62.7,42.4,40.1,2.299999999999997
AT,2010,41.6,62.7,42.8,40.5,2.299999999999997
AT,2011,42.0,62.1,43.2,40.9,2.3000000000000043
AT,2012,42.4,61.7,43.5,41.2,2.299999999999997
AT,2013,42.6,61.8,43.8,41.4,2.3999999999999986
AT,2014,42.9,61.7,44.1,41.6,2.5
AT,2015,43.0,61.6,44.3,41.7,2.5999999999999943
AT,2016,43.0,61.5,44.3,41.5,2.799999999999997
AT,2017,43.0,61.6,44.5,41.5,3.0
AT,2018,43.2,61.7,44.6,41.7,2.8999999999999986
AT,2019,43.4,61.9,44.8,41.8,3.0
AT,2020,43.5,62.2,45.0,42.0,3.0
AT,2021,43.6,62.5,45.1,42.1,3.0
AT,2022,43.6,63.2,45.2,42.1,3.1000000000000014
AT,2023,43.5,63.7,45.1,42.1,3.0
AT,2024,43.6,64.3,45.2,42.2,3.0
AT,2025,43.8,65.1,45.3,42.4,2.8999999999999986
BE,1960,35.2,70.1,36.3,34.2,2.0999999999999943
BE,1961,35.2,71.5,36.3,34.2,2.0999999999999943
BE,1962,34.9,74.4,36.2,33.7,2.5
BE,1963,34.9,75.9,36.2,33.6,2.6000000000000014
BE,1964,34.8,76.9,36.2,33.5,2.700000000000003
BE,1965,34.7,77.9,36.1,33.3,2.8000000000000043
BE,1966,34.7,79.0,36.1,33.3,2.8000000000000043
BE,1967,34.7,79.4,36.1,33.2,2.8999999999999986
BE,1968,34.7,79.7,36.2,33.1,3.1000000000000014
BE,1969,34.6,79.8,36.2,32.9,3.3000000000000043
BE,1970,34.5,80.0,36.2,32.8,3.4000000000000057
BE,1971,34.5,80.3,36.1,32.8,3.3000000000000043
BE,1972,34.3,80.4,36.1,32.7,3.3999999999999986
BE,1973,34.3,80.2,36.0,32.5,3.5
BE,1974,34.2,80.0,36.0,32.3,3.700000000000003
BE,1975,34.1,79.3,36.0,32.0,4.0
BE,1976,33.9,78.4,36.0,32.0,4.0
BE,1977,33.8,77.4,36.0,32.0,4.0
BE,1978,33.7,76.4,35.7,32.0,3.700000000000003
BE,1979,33.8,75.5,35.7,32.2,3.5
BE,1980,33.9,74.5,35.7,32.5,3.200000000000003
BE,1981,34.1,73.0,35.8,32.7,3.0999999999999943
