geo,latest_year,median_age,dep_ratio,median_age_f,median_age_m,gender_gap
IT,2025,49.1,71.3,50.5,47.5,3.0
BG,2025,47.3,75.6,49.5,45.1,4.399999999999999
PT,2025,47.3,72.1,48.9,45.5,3.3999999999999986
EL,2025,47.2,72.2,48.8,45.6,3.1999999999999957
ES,2025,45.8,64.3,47.0,44.6,2.3999999999999986
SI,2025,45.5,71.6,47.1,44.1,3.0
DE,2025,45.5,70.6,47.2,43.8,3.4000000000000057
HR,2025,45.5,72.8,47.8,43.3,4.5
HU,2025,44.8,67.8,46.8,42.6,4.199999999999996
LV,2025,44.4,73.7,48.2,40.9,7.300000000000004
CZ,2025,44.3,72.0,45.7,42.8,2.9000000000000057
LT,2025,44.3,66.6,48.0,41.0,7.0
RO,2025,44.1,71.0,46.1,42.0,4.100000000000001
AT,2025,43.8,65.1,45.3,42.4,2.8999999999999986
FI,2025,43.5,78.0,45.1,42.1,3.0
PL,2025,43.4,69.4,45.2,41.8,3.4000000000000057
SK,2025,43.0,65.8,44.5,41.6,2.8999999999999986
EE,2025,42.9,73.2,45.8,40.3,5.5
FR,2025,42.8,80.6,44.2,41.3,2.9000000000000057
NL,2025,42.6,70.7,43.5,41.6,1.8999999999999986
DK,2025,42.2,73.2,43.4,40.9,2.5
BE,2025,42.1,73.1,43.1,41.0,2.1000000000000014
SE,2025,41.2,77.1,42.2,40.3,1.9000000000000057
CY,2025,41.0,62.2,42.2,39.7,2.5
MT,2025,40.0,52.8,41.5,38.9,2.6000000000000014
LU,2025,39.8,56.6,40.4,39.2,1.1999999999999957
IE,2025,39.6,69.2,40.3,38.9,1.3999999999999986
