year,median_age,dep_ratio
1960,31.45555555555556,76.69444444444444
1961,31.993750000000002,78.18823529411765
1962,31.71875,77.76875
1963,31.75,78.11875
1964,31.8125,78.5125
1965,31.783333333333335,78.80000000000001
1966,31.8625,79.3375
1967,32.088235294117645,78.67058823529412
1968,31.835294117647063,79.02352941176471
1969,31.852941176470587,78.87647058823529
1970,31.99090909090909,78.2
1971,32.17142857142857,77.97142857142858
1972,32.15714285714286,78.10952380952381
1973,32.17142857142857,78.89545454545454
1974,32.22857142857143,77.99047619047619
1975,32.11818181818182,77.81363636363636
1976,32.21818181818182,77.97727272727273
1977,32.31818181818182,77.43181818181819
1978,32.42272727272727,77.14999999999999
1979,32.57272727272727,76.69090909090909
1980,32.55217391304348,76.32608695652173
1981,32.86363636363637,75.5409090909091
1982,32.81666666666667,74.49583333333334
1983,33.17391304347826,73.51304347826087
1984,33.291666666666664,71.97500000000001
1985,33.396,71.08800000000001
1986,33.729166666666664,70.67083333333333
1987,33.949999999999996,70.33333333333333
1988,34.18333333333333,69.96249999999999
1989,34.420833333333334,69.65416666666667
1990,34.552,69.516
1991,34.76923076923077,69.33846153846153
1992,35.034615384615385,68.98846153846154
1993,35.30384615384615,68.62692307692308
1994,35.56923076923077,68.30384615384615
1995,35.83846153846154,67.82692307692308
1996,36.11923076923077,67.39615384615385
1997,36.38461538461539,66.96153846153847
1998,36.67307692307692,66.48076923076923
1999,36.94615384615385,65.87307692307692
2000,37.23076923076923,65.22307692307692
2001,37.58518518518518,64.62962962962963
2002,37.9,64.31851851851852
2003,38.18888888888888,63.9
2004,38.46296296296296,63.474074074074075
2005,38.74814814814815,63.2
2006,39.08148148148148,62.92962962962962
2007,39.34814814814815,62.67407407407408
2008,39.64074074074074,62.34814814814815
2009,39.911111111111104,62.13703703703704
2010,40.18888888888888,62.170370370370364
2011,40.4962962962963,62.211111111111116
2012,40.7962962962963,62.51481481481482
2013,41.092592592592595,63.0
2014,41.3962962962963,63.592592592592595
2015,41.666666666666664,64.25185185185185
2016,41.911111111111104,64.94444444444444
2017,42.181481481481484,65.67407407407407
2018,42.43333333333334,66.34074074074074
2019,42.670370370370364,66.91481481481482
2020,42.88148148148148,67.52222222222223
2021,43.129629629629626,68.20370370370371
2022,43.351851851851855,68.82222222222222
2023,43.425925925925924,69.21481481481482
2024,43.592592592592595,69.56666666666666
2025,43.81481481481482,69.94814814814815
