geo,year,fertility_rate
AT,1960,2.69
AT,1961,2.78
AT,1962,2.8
AT,1963,2.82
AT,1964,2.79
AT,1965,2.7
AT,1966,2.66
AT,1967,2.62
AT,1968,2.58
AT,1969,2.49
AT,1970,2.29
AT,1971,2.2
AT,1972,2.08
AT,1973,1.94
AT,1974,1.91
AT,1975,1.83
AT,1976,1.69
AT,1977,1.63
AT,1978,1.6
AT,1979,1.6
AT,1980,1.65
AT,1981,1.67
AT,1982,1.66
AT,1983,1.56
AT,1984,1.52
AT,1985,1.47
AT,1986,1.45
AT,1987,1.43
AT,1988,1.45
AT,1989,1.45
AT,1990,1.46
AT,1991,1.51
AT,1992,1.51
AT,1993,1.5
AT,1994,1.47
AT,1995,1.42
AT,1996,1.45
AT,1997,1.39
AT,1998,1.37
AT,1999,1.34
AT,2000,1.36
AT,2001,1.33
AT,2002,1.39
AT,2003,1.38
AT,2004,1.42
AT,2005,1.41
AT,2006,1.41
AT,2007,1.38
AT,2008,1.42
AT,2009,1.39
AT,2010,1.44
AT,2011,1.43
AT,2012,1.44
AT,2013,1.44
AT,2014,1.46
AT,2015,1.49
AT,2016,1.53
AT,2017,1.52
AT,2018,1.47
AT,2019,1.46
AT,2020,1.44
AT,2021,1.48
AT,2022,1.41
AT,2023,1.32
AT,2024,1.31
BE,1960,2.54
BE,1961,2.63
BE,1962,2.59
BE,1963,2.68
BE,1964,2.71
BE,1965,2.61
BE,1966,2.52
BE,1967,2.41
BE,1968,2.31
BE,1969,2.27
BE,1970,2.25
BE,1971,2.21
BE,1972,2.09
BE,1973,1.95
BE,1974,1.83
BE,1975,1.74
BE,1976,1.73
BE,1977,1.71
BE,1978,1.69
BE,1979,1.69
BE,1980,1.68
BE,1981,1.66
BE,1982,1.61
BE,1983,1.57
BE,1984,1.54
BE,1985,1.51
BE,1986,1.54
BE,1987,1.54
BE,1988,1.57
BE,1989,1.58
BE,1990,1.62
BE,1991,1.66
BE,1992,1.65
BE,1993,1.61
BE,1994,1.56
BE,1995,1.56
BE,1996,1.59
BE,1997,1.6
BE,1998,1.6
BE,1999,1.62
BE,2000,1.67
BE,2001,1.67
BE,2002,1.65
BE,2003,1.67
BE,2004,1.72
BE,2005,1.76
BE,2006,1.8
BE,2007,1.82
BE,2008,1.85
BE,2009,1.84
BE,2010,1.86
BE,2011,1.81
BE,2012,1.8
BE,2013,1.76
BE,2014,1.74
BE,2015,1.7
BE,2016,1.68
BE,2017,1.65
BE,2018,1.62
BE,2019,1.6
BE,2020,1.55
BE,2021,1.6
BE,2022,1.53
BE,2023,1.47
BE,2024,1.44
BG,1960,2.31
BG,1961,2.29
BG,1962,2.24
BG,1963,2.21
BG,1964,2.19
BG,1965,2.09
BG,1966,2.03
BG,1967,2.02
BG,1968,2.27
BG,1969,2.27
BG,1970,2.17
BG,1971,2.1
BG,1972,2.03
BG,1973,2.15
BG,1974,2.29
BG,1975,2.23
BG,1976,2.24
BG,1977,2.21
BG,1978,2.15
BG,1979,2.16
BG,1980,2.05
BG,1981,2.0
BG,1982,2.01
BG,1983,2.01
BG,1984,2.01
BG,1985,1.97
BG,1986,2.02
BG,1987,1.96
BG,1988,1.97
BG,1989,1.9
BG,1990,1.82
BG,1991,1.66
BG,1992,1.55
BG,1993,1.46
BG,1994,1.37
BG,1995,1.23
BG,1996,1.23
BG,1997,1.09
BG,1998,1.11
BG,1999,1.23
BG,2000,1.26
