geo,year,life_expectancy
AT,1960,
AT,1961,
AT,1962,
AT,1963,
AT,1964,
AT,1965,
AT,1966,
AT,1967,
AT,1968,
AT,1969,
AT,1970,70.1
AT,1971,70.3
AT,1972,70.7
AT,1973,71.2
AT,1974,71.2
AT,1975,71.4
AT,1976,71.8
AT,1977,72.2
AT,1978,72.3
AT,1979,72.6
AT,1980,72.7
AT,1981,73.0
AT,1982,73.2
AT,1983,73.3
AT,1984,73.9
AT,1985,74.1
AT,1986,74.5
AT,1987,75.0
AT,1988,75.5
AT,1989,75.6
AT,1990,75.8
AT,1991,75.9
AT,1992,76.1
AT,1993,76.3
AT,1994,76.7
AT,1995,76.9
AT,1996,77.1
AT,1997,77.5
AT,1998,77.9
AT,1999,78.1
AT,2000,78.3
AT,2001,78.8
AT,2002,78.9
AT,2003,78.8
AT,2004,79.3
AT,2005,79.5
AT,2006,80.1
AT,2007,80.3
AT,2008,80.6
AT,2009,80.5
AT,2010,80.7
AT,2011,81.1
AT,2012,81.1
AT,2013,81.3
AT,2014,81.6
AT,2015,81.3
AT,2016,81.8
AT,2017,81.7
AT,2018,81.8
AT,2019,82.0
AT,2020,81.3
AT,2021,81.3
AT,2022,81.4
AT,2023,81.9
AT,2024,82.1
BE,1960,69.7
BE,1961,70.5
BE,1962,70.3
BE,1963,70.1
BE,1964,70.8
BE,1965,70.7
BE,1966,70.7
BE,1967,71.0
BE,1968,70.7
BE,1969,70.8
BE,1970,71.0
BE,1971,71.1
BE,1972,71.4
BE,1973,71.7
BE,1974,72.0
BE,1975,72.0
BE,1976,72.2
BE,1977,72.8
BE,1978,72.8
BE,1979,73.3
BE,1980,73.3
BE,1981,73.7
BE,1982,74.0
BE,1983,73.9
BE,1984,74.5
BE,1985,74.6
BE,1986,74.8
BE,1987,75.4
BE,1988,75.7
BE,1989,75.7
BE,1990,76.2
BE,1991,76.3
BE,1992,76.5
BE,1993,76.5
BE,1994,76.8
BE,1995,77.0
BE,1996,77.3
BE,1997,77.5
BE,1998,77.6
BE,1999,77.7
BE,2000,77.9
BE,2001,78.1
BE,2002,78.2
BE,2003,78.3
BE,2004,79.0
BE,2005,79.1
BE,2006,79.5
BE,2007,79.9
BE,2008,79.8
BE,2009,80.2
BE,2010,80.3
BE,2011,80.7
BE,2012,80.5
BE,2013,80.7
BE,2014,81.4
BE,2015,81.1
BE,2016,81.5
BE,2017,81.6
BE,2018,81.7
BE,2019,82.1
BE,2020,80.8
BE,2021,81.9
BE,2022,81.8
BE,2023,82.5
BE,2024,82.4
BG,1960,69.3
BG,1961,70.4
BG,1962,69.6
BG,1963,70.5
BG,1964,71.3
BG,1965,71.4
BG,1966,71.2
BG,1967,70.4
BG,1968,71.2
BG,1969,70.4
BG,1970,71.2
