geo,year,pension_pct_gdp
AT,1990,
AT,1991,
AT,1992,
AT,1993,
AT,1994,
AT,1995,8.37
AT,1996,8.44
AT,1997,8.36
AT,1998,8.31
AT,1999,8.41
AT,2000,8.5
AT,2001,8.6
AT,2002,8.66
AT,2003,8.84
AT,2004,8.83
AT,2005,8.81
AT,2006,8.88
AT,2007,8.84
AT,2008,9.08
AT,2009,9.72
AT,2010,9.83
AT,2011,9.69
AT,2012,9.95
AT,2013,10.27
AT,2014,10.54
AT,2015,10.6
AT,2016,10.53
AT,2017,10.54
AT,2018,10.54
AT,2019,10.86
AT,2020,11.72
AT,2021,11.53
AT,2022,11.06
AT,2023,11.36
BE,1990,
BE,1991,
BE,1992,
BE,1993,
BE,1994,
BE,1995,7.22
BE,1996,7.46
BE,1997,7.32
BE,1998,7.28
BE,1999,7.19
BE,2000,7.0
BE,2001,7.08
BE,2002,7.16
BE,2003,7.2
BE,2004,7.16
BE,2005,7.17
BE,2006,7.16
BE,2007,6.92
BE,2008,7.41
BE,2009,7.97
BE,2010,7.94
BE,2011,8.13
BE,2012,8.05
BE,2013,8.32
BE,2014,8.44
BE,2015,8.73
BE,2016,8.61
BE,2017,8.77
BE,2018,8.87
BE,2019,8.86
BE,2020,9.71
BE,2021,9.1
BE,2022,9.09
BE,2023,9.28
BG,1990,
BG,1991,
BG,1992,
BG,1993,
BG,1994,
BG,1995,
BG,1996,
BG,1997,
BG,1998,
BG,1999,
BG,2000,
BG,2001,
BG,2002,
BG,2003,
BG,2004,
BG,2005,5.33
BG,2006,5.14
BG,2007,4.81
BG,2008,5.04
BG,2009,6.18
BG,2010,6.56
BG,2011,6.2
BG,2012,6.09
BG,2013,6.54
BG,2014,6.72
BG,2015,6.61
BG,2016,6.43
BG,2017,6.21
BG,2018,6.15
BG,2019,5.8
BG,2020,6.38
BG,2021,6.13
BG,2022,6.67
BG,2023,7.56
CY,1990,
CY,1991,
CY,1992,
CY,1993,
CY,1994,
CY,1995,
CY,1996,
CY,1997,
CY,1998,
CY,1999,
CY,2000,4.09
CY,2001,4.15
CY,2002,4.53
CY,2003,4.78
CY,2004,4.66
CY,2005,4.75
CY,2006,4.74
CY,2007,4.71
CY,2008,4.85
CY,2009,5.28
CY,2010,4.99
CY,2011,5.3
CY,2012,5.82
CY,2013,6.65
CY,2014,7.19
CY,2015,7.31
CY,2016,7.04
CY,2017,6.87
CY,2018,6.64
CY,2019,6.46
CY,2020,7.03
CY,2021,6.46
CY,2022,5.95
CY,2023,5.79
CZ,1990,
CZ,1991,
CZ,1992,
CZ,1993,
CZ,1994,
CZ,1995,5.05
CZ,1996,5.2
CZ,1997,5.8
CZ,1998,5.74
CZ,1999,5.79
CZ,2000,5.71
CZ,2001,5.56
CZ,2002,5.74
CZ,2003,5.71
CZ,2004,5.57
CZ,2005,5.68
CZ,2006,5.62
CZ,2007,5.65
CZ,2008,5.89
CZ,2009,6.59
CZ,2010,6.63
CZ,2011,6.92
CZ,2012,7.18
CZ,2013,7.3
CZ,2014,7.13
CZ,2015,6.87
CZ,2016,6.76
CZ,2017,6.61
CZ,2018,6.6
CZ,2019,6.73
CZ,2020,7.54
CZ,2021,7.15
CZ,2022,7.05
CZ,2023,7.57
DE,1990,
DE,1991,6.59
DE,1992,6.84
DE,1993,7.1
DE,1994,7.27
DE,1995,7.5
DE,1996,7.66
DE,1997,7.79
DE,1998,7.84
DE,1999,7.9
DE,2000,8.03
DE,2001,8.17
DE,2002,8.39
DE,2003,8.6
DE,2004,8.64
DE,2005,8.71
DE,2006,8.53
DE,2007,8.34
DE,2008,8.4
DE,2009,8.99
DE,2010,8.72
DE,2011,8.36
DE,2012,8.38
DE,2013,8.38
DE,2014,8.47
DE,2015,8.6
DE,2016,8.67
DE,2017,8.63
DE,2018,8.72
DE,2019,8.92
DE,2020,9.55
DE,2021,9.24
DE,2022,8.89
DE,2023,8.85
DK,1990,5.79
DK,1991,5.89
DK,1992,5.91
DK,1993,6.16
DK,1994,7.23
DK,1995,7.08
DK,1996,6.94
DK,1997,6.75
DK,1998,6.68
DK,1999,6.59
DK,2000,6.42
DK,2001,6.55
DK,2002,6.63
DK,2003,6.85
DK,2004,6.83
DK,2005,7.11
DK,2006,7.08
DK,2007,7.78
DK,2008,7.7
DK,2009,8.66
DK,2010,8.55
DK,2011,8.8
DK,2012,8.95
DK,2013,9.76
DK,2014,10.21
DK,2015,10.05
DK,2016,9.51
DK,2017,9.65
DK,2018,9.77
DK,2019,9.9
DK,2020,9.95
DK,2021,8.98
DK,2022,8.3
DK,2023,8.67
EE,1990,
EE,1991,
EE,1992,
EE,1993,
EE,1994,
EE,1995,
EE,1996,
EE,1997,
EE,1998,
EE,1999,6.25
EE,2000,5.6
EE,2001,4.32
EE,2002,4.28
EE,2003,4.26
EE,2004,4.26
EE,2005,4.07
EE,2006,4.06
EE,2007,3.88
EE,2008,4.69
EE,2009,5.88
EE,2010,6.46
EE,2011,4.93
EE,2012,4.77
EE,2013,4.69
EE,2014,4.65
EE,2015,4.83
EE,2016,4.76
EE,2017,4.52
EE,2018,4.53
EE,2019,4.56
EE,2020,5.11
EE,2021,4.78
EE,2022,4.46
EE,2023,4.83
EL,1990,
EL,1991,
EL,1992,
EL,1993,
EL,1994,
EL,1995,6.41
EL,1996,6.66
EL,1997,6.75
EL,1998,7.21
EL,1999,7.26
EL,2000,8.35
EL,2001,8.62
EL,2002,8.64
EL,2003,8.56
EL,2004,8.79
EL,2005,9.31
EL,2006,9.27
EL,2007,9.29
EL,2008,10.02
EL,2009,10.89
EL,2010,11.27
EL,2011,12.73
EL,2012,14.08
EL,2013,13.1
EL,2014,13.58
EL,2015,14.39
EL,2016,14.22
EL,2017,13.55
EL,2018,13.05
EL,2019,12.97
EL,2020,14.17
EL,2021,13.07
EL,2022,11.61
EL,2023,11.31
ES,1990,
ES,1991,
ES,1992,
ES,1993,
ES,1994,
ES,1995,7.24
ES,1996,7.38
ES,1997,7.35
ES,1998,7.22
ES,1999,7.12
ES,2000,5.79
ES,2001,5.6
ES,2002,5.55
ES,2003,5.46
ES,2004,5.33
ES,2005,5.27
ES,2006,5.21
ES,2007,5.45
ES,2008,5.58
ES,2009,6.12
ES,2010,6.43
ES,2011,6.74
ES,2012,7.26
ES,2013,7.82
ES,2014,8.03
ES,2015,7.98
ES,2016,8.04
ES,2017,8.0
ES,2018,8.15
ES,2019,8.3
ES,2020,9.58
ES,2021,9.27
ES,2022,8.84
ES,2023,9.12
FI,1990,5.77
FI,1991,6.67
FI,1992,7.42
FI,1993,7.66
FI,1994,7.43
FI,1995,7.12
FI,1996,7.16
FI,1997,6.79
FI,1998,6.39
FI,1999,6.33
FI,2000,6.11
FI,2001,6.17
FI,2002,6.39
FI,2003,6.56
FI,2004,6.55
FI,2005,6.67
FI,2006,6.77
FI,2007,6.66
FI,2008,6.74
FI,2009,8.01
FI,2010,8.33
FI,2011,8.48
FI,2012,9.12
FI,2013,9.71
FI,2014,10.16
FI,2015,10.3
FI,2016,10.61
FI,2017,10.7
FI,2018,10.73
FI,2019,10.84
FI,2020,11.35
FI,2021,11.03
FI,2022,10.68
FI,2023,11.28
FR,1990,8.73
FR,1991,8.99
FR,1992,9.3
FR,1993,9.75
FR,1994,9.87
FR,1995,10.0
FR,1996,9.98
FR,1997,10.15
FR,1998,10.09
FR,1999,10.15
FR,2000,9.93
FR,2001,9.99
FR,2002,10.04
FR,2003,10.18
FR,2004,10.23
FR,2005,10.32
FR,2006,10.44
FR,2007,10.55
FR,2008,10.82
FR,2009,11.66
FR,2010,11.73
FR,2011,11.85
FR,2012,12.12
FR,2013,12.36
FR,2014,12.43
FR,2015,12.39
FR,2016,12.46
FR,2017,12.37
FR,2018,12.35
FR,2019,12.24
FR,2020,13.18
FR,2021,12.37
FR,2022,12.22
FR,2023,12.07
HR,1990,
HR,1991,
HR,1992,
HR,1993,
HR,1994,
HR,1995,
HR,1996,
HR,1997,
HR,1998,
HR,1999,
HR,2000,
HR,2001,
HR,2002,
HR,2003,
HR,2004,
HR,2005,
HR,2006,
HR,2007,
HR,2008,5.02
HR,2009,5.51
HR,2010,5.52
HR,2011,5.42
HR,2012,5.4
HR,2013,5.47
HR,2014,5.6
HR,2015,5.41
HR,2016,5.44
HR,2017,5.34
HR,2018,5.35
HR,2019,5.38
HR,2020,6.1
HR,2021,5.48
HR,2022,5.05
HR,2023,4.94
HU,1990,
HU,1991,
HU,1992,
HU,1993,
HU,1994,
HU,1995,
HU,1996,
HU,1997,
HU,1998,
HU,1999,6.02
HU,2000,5.79
HU,2001,5.69
HU,2002,5.78
HU,2003,5.94
HU,2004,5.91
HU,2005,6.06
HU,2006,6.1
HU,2007,6.3
HU,2008,6.55
HU,2009,6.69
HU,2010,6.8
HU,2011,7.03
HU,2012,7.51
HU,2013,7.67
HU,2014,7.24
HU,2015,6.95
HU,2016,6.82
HU,2017,6.48
HU,2018,6.07
HU,2019,5.67
HU,2020,6.08
HU,2021,5.66
HU,2022,5.4
HU,2023,5.75
IE,1990,
IE,1991,
IE,1992,
IE,1993,
IE,1994,
IE,1995,2.4
IE,1996,2.13
IE,1997,1.96
IE,1998,1.84
IE,1999,1.7
IE,2000,3.45
IE,2001,3.42
IE,2002,3.1
IE,2003,2.98
IE,2004,3.41
IE,2005,3.47
IE,2006,3.59
IE,2007,4.15
IE,2008,4.79
IE,2009,5.51
IE,2010,6.33
IE,2011,6.18
IE,2012,6.45
IE,2013,6.27
IE,2014,5.87
IE,2015,4.47
IE,2016,4.5
IE,2017,4.3
IE,2018,4.06
IE,2019,4.03
IE,2020,3.93
IE,2021,3.53
IE,2022,3.11
IE,2023,3.4
IT,1990,
IT,1991,
IT,1992,
IT,1993,
IT,1994,
IT,1995,6.88
IT,1996,7.51
IT,1997,7.77
IT,1998,7.77
IT,1999,7.93
