geo,year,net_migration_rate,natural_growth_rate,total_growth_rate
AT,1960,-0.3,5.1692759358129035,4.869275935812904
AT,1961,-0.4,6.495682119520268,6.0956821195202675
AT,1962,0.2,5.965049612375181,6.1650496123751815
AT,1963,0.7,6.044611836085452,6.744611836085452
AT,1964,0.4,6.2168410835970676,6.616841083597068
AT,1965,1.4,4.918869218869605,6.3188692188696045
AT,1966,2.6,5.091463870239169,7.691463870239168
AT,1967,2.9,4.349021565383824,7.249021565383824
AT,1968,-0.9,4.06559463694298,3.16559463694298
AT,1969,0.7,3.051312460212566,3.7513124602125663
AT,1970,1.4,1.8084162582013865,3.208416258201386
AT,1971,4.2,1.4943114280862626,5.694311428086262
AT,1972,4.7,1.1579470330299406,5.857947033029941
AT,1973,4.5,0.696890451807838,5.196890451807838
AT,1974,-2.2,0.40837470548636823,-1.791625294513632
AT,1975,-3.2,-0.300830471229069,-3.500830471229069
AT,1976,1.0,-1.0169864763533463,-0.01698647635334627
AT,1977,1.7,-0.8997349965190949,0.800265003480905
AT,1978,-1.2,-1.2170963001197022,-2.4170963001197023
AT,1979,-0.3,-0.7445742330183721,-1.044574233018372
AT,1980,1.2,-0.2080699602771916,0.9919300397228084
AT,1981,3.9,0.18296575574786525,4.082965755747865
AT,1982,-3.1,0.4616240252296451,-2.638375974770355
AT,1983,-0.2,-0.3864262970828979,-0.586426297082898
AT,1984,0.4,0.1015922065020335,0.5015922065020335
AT,1985,0.7,-0.2826833445432661,0.41731665545673385
AT,1986,0.8,-0.014140839590544721,0.7858591604094554
AT,1987,0.2,0.22210918686909503,0.42210918686909504
AT,1988,1.7,0.6321011562475128,2.332101156247513
AT,1989,5.9,0.7047376886526302,6.60473768865263
AT,1990,7.6,0.9813183256946076,8.581318325694607
AT,1991,9.9,1.452622410769611,11.352622410769612
AT,1992,9.1,1.5566299807190733,10.656629980719073
AT,1993,4.2,1.6124287172666503,5.81242871726665
AT,1994,0.4,1.47955300876078,1.8795530087607801
AT,1995,0.3,0.9439177167614885,1.2439177167614885
AT,1996,0.5,1.0082902608515685,1.5082902608515685
