freq,indic_de,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,CNMIGRATRT,AD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53.9 	14.4 	26.2 	16.1 	8.5 	-11.5 	4.1 	: 	-29.8 	: 	: 	: 	14.5 e	: 	15.6 e	14.7 e	: 	: 	23.9 	40.9 	: 	: 
A,CNMIGRATRT,AL	-1.8 	-0.6 	1.3 	0.1 	-0.7 	0.5 	0.6 	-0.2 	2.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-2.3 	0.0 	0.0 	0.1 	0.4 	0.4 	0.3 	-1.1 	-0.2 	0.3 	-2.9 	7.6 	-12.1 	-38.1 	-10.2 	-35.5 	-9.2 	-37.3 	-8.3 	-34.4 	-5.6 	-34.1 	-9.3 	-14.3 	-12.6 	-12.5 	-12.5 	-12.6 	-13.6 	-14.6 	-13.4 	-10.7 	-8.7 	-6.4 	-6.8 	-7.1 	-7.5 	-7.1 	-3.2 	-5.2 	-5.2 	-8.1 	-5.9 	-11.7 	-11.7 	: 	-12.1 	: 
A,CNMIGRATRT,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-8.0 	-8.6 	-6.9 	-5.5 	-6.8 	-3.3 	-2.9 	-2.5 	-2.6 	-2.4 	-2.1 	-1.9 	-1.8 	-1.6 	-1.1 	-1.1 	: 	: 	: 	-8.6 	-8.3 	-8.0 	-6.2 	-5.2 	1.1 	: 	: 	0.6 	25.3 	: 
A,CNMIGRATRT,AT	-0.3 	-0.4 	0.2 	0.7 	0.4 	1.4 	2.6 	2.9 	-0.9 	0.7 	1.4 	4.2 	4.7 	4.5 	-2.2 	-3.2 	1.0 	1.7 	-1.2 	-0.3 	1.2 	3.9 	-3.1 	-0.2 	0.4 	0.7 	0.8 	0.2 	1.7 	5.9 	7.6 	9.9 	9.1 	4.2 	0.4 	0.3 	0.5 	0.2 	1.1 	2.5 	2.2 	5.2 	4.3 	5.2 	6.6 	6.1 	3.0 	2.8 	2.9 	2.1 	2.6 	3.7 	5.2 	6.6 	8.6 	13.2 	7.5 	5.1 	4.0 	4.6 	4.4 	5.8 	15.1 	7.2 	5.4 	: 
A,CNMIGRATRT,AZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.0 	-1.0 	-0.6 	-0.5 	-0.7 	-0.6 	-0.4 	-0.2 	-0.1 	-0.1 	0.0 	-0.1 	19.1 	0.1 	0.2 	0.2 	0.2 	0.2 	0.1 	0.1 	0.2 	0.1 	0.2 	0.0 	0.1 	0.2 	-9.0 	0.1 	0.1 	: 
A,CNMIGRATRT,BA	-7.4 	-4.4 	0.1 	-0.2 	0.4 	0.4 	0.1 	-0.1 	-25.5 	-29.3 	-2.0 	0.0 	0.2 	-0.1 	-0.4 	0.2 	0.1 	0.0 	0.1 	-16.0 	-16.4 	-0.1 	-0.4 	0.3 	-0.1 	-0.1 	0.0 	0.1 	-0.2 	0.3 	-4.2 	-37.2 	: 	: 	: 	: 	-40.1 	-54.4 	34.0 	13.5 	7.3 	4.2 	3.0 	0.9 	0.7 	0.0 	0.1 	0.3 	0.0 	0.1 	0.1 	-0.1 	0.0 	0.1 	0.0 	: 	0.0 	-0.6 	0.0 p	: 	: 	: 	-2.5 p	-4.3 p	0.1 p	: 
A,CNMIGRATRT,BE	1.0 	-4.3 	2.1 	3.7 	5.3 	3.2 	2.3 	1.9 	0.6 	0.7 	-3.4 	2.3 	1.3 	1.9 	2.5 	2.5 	0.8 	0.5 	-0.3 	0.2 	-0.2 	-2.1 	-0.5 	-0.8 	0.0 	-0.1 	0.0 	-0.1 	3.7 	0.7 	2.0 	1.3 	2.6 	1.8 	1.7 	0.2 	1.5 	1.0 	1.2 	1.6 	1.3 	3.3 	3.7 	3.2 	3.2 	4.7 	4.9 	5.5 	5.9 	5.9 	7.9 	4.6 b	3.9 b	2.4 	3.2 	5.5 	2.4 	3.2 	4.3 	5.0 	3.9 	4.9 	10.9 	6.4 	7.2 p	: 
A,CNMIGRATRT,BG	0.0 	0.0 	0.0 	0.0 	0.0 	-0.7 	0.0 	0.0 	0.0 	-0.3 	-1.3 	-1.1 	-1.2 	-0.6 	-0.2 	-3.8 	-0.3 	-1.2 	-6.9 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-3.7 	0.1 	0.0 	0.0 	-25.3 	-10.9 	-6.9 	-10.7 	0.0 	0.0 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	-29.5 	-2.2 	-2.0 	-2.1 	-2.2 	-2.3 	-2.3 	-2.4 	-2.5 	-2.4 	-0.7 	-0.3 	-6.6 	-6.6 	-6.7 	-6.8 	-6.8 	-7.0 	-7.3 	4.3 	6.3 	4.2 	6.4 	6.1 	: 
A,CNMIGRATRT,BY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 	-0.2 	-0.3 	2.3 	1.2 	0.9 	0.6 	0.5 	0.2 	0.2 	0.6 	0.5 	0.8 	-17.3 	3.2 	1.0 	1.0 	: 	1.7 	1.9 e	0.8 	0.4 	1.0 	-3.6 	: 	: 	: 	: 	: 	: 
A,CNMIGRATRT,CH	4.2 	18.4 	14.6 	10.0 	3.6 	-0.3 	2.4 	4.5 	4.1 	3.3 	-2.9 	0.4 	3.1 	1.2 	0.3 	-9.1 	-8.6 	-3.6 	-1.1 	0.6 	2.7 	3.7 	3.3 	0.8 	1.9 	2.1 	3.4 	4.0 	5.1 	5.1 	9.4 	9.1 	5.9 	5.7 	4.2 	3.5 	-0.2 	-0.4 	1.5 	3.5 	3.3 	5.6 	6.5 	5.7 	5.1 	4.3 	4.9 	9.4 	12.1 	8.8 	7.7 	8.3 b	8.3 	10.2 	9.4 	8.5 	8.3 	5.2 	4.7 	5.0 	6.3 	5.7 	7.8 	15.6 	8.9 p	: 
A,CNMIGRATRT,CY	: 	-11.3 	-9.8 	-3.3 	-8.7 	-4.8 	-5.6 	-3.5 	-2.4 	-1.5 	-1.5 	0.9 	4.9 	0.7 	-30.5 	-23.7 b	-10.7 	-8.4 	-3.8 	-2.3 	1.6 	9.2 	-8.9 	1.0 	0.3 	0.4 	0.3 	0.5 	0.5 	8.0 	15.0 	17.7 	16.4 	12.8 	11.0 	9.2 	8.0 	7.2 	6.2 	6.1 	5.7 	6.6 	7.7 	8.7 	9.7 	11.0 	13.7 	19.9 	21.1 	22.0 	19.2 	21.3 	-0.7 	-11.6 	-3.5 	-0.5 	2.5 	6.3 bep	9.1 	10.0 	9.4 	13.2 	17.5 	14.4 	10.6 p	: 
A,CNMIGRATRT,CZ	-11.1 	0.5 	0.6 	0.9 	0.5 	0.4 	0.2 	-0.3 	-0.2 	-0.3 	-12.3 	0.3 	0.3 	0.5 	0.3 	0.2 	0.3 	0.1 	0.2 	0.2 	-4.0 	0.2 	0.2 	0.2 	0.3 	0.2 	0.3 	0.3 	0.2 	0.1 	-5.7 	0.3 	1.1 	0.5 	1.0 	1.0 	1.0 	1.2 	0.9 	0.9 	-2.7 	-1.4 	0.7 	2.0 	1.3 	3.0 	2.9 	7.7 	6.5 	2.4 	1.4 	1.6 	1.0 	-0.1 	2.1 	1.5 	1.9 	2.7 	3.6 	4.1 	2.5 	4.8 b	30.9 	8.7 	3.4 	: 
A,CNMIGRATRT,DE	6.8 	4.4 	5.0 	4.1 	5.2 	5.8 	2.2 	-2.9 	: 	: 	-4.4 	: 	: 	: 	: 	-3.2 	: 	: 	: 	: 	5.1 	: 	: 	-1.9 	-2.4 	1.5 	3.2 	2.3 	7.9 	15.8 	16.3 	7.5 b	9.6 	5.7 	3.9 	4.9 	3.4 	1.1 	0.6 	2.5 	2.0 	3.3 	2.7 	1.7 	1.0 	1.0 	0.3 	0.5 	-0.7 	-0.1 	1.6 	3.7 b	4.9 	5.6 	7.2 	14.3 	5.6 	5.1 	4.8 	3.7 	2.4 	3.7 	2.5 b	8.1 b	5.4 	: 
A,CNMIGRATRT,DK	-0.9 	0.6 	0.8 	0.1 	0.3 	-0.4 	0.4 	0.3 	-0.7 	1.4 	4.3 	-0.3 	1.4 	1.4 	-0.3 	-2.0 	0.7 	1.1 	1.1 	1.1 	0.1 	-0.3 	0.0 	0.4 	0.8 	1.9 	2.2 	1.2 	0.1 	0.7 	1.7 	2.1 	2.2 	2.2 	2.0 	5.5 	3.3 	2.3 	2.1 	1.8 	1.9 	2.2 	1.8 	1.3 	0.9 	1.2 	1.9 	3.7 	4.6 	2.8 	3.0 	2.4 	3.0 	3.8 	4.8 	7.4 	5.7 	4.2 	3.2 	1.6 	1.9 	4.6 	10.2 	5.0 	5.3 	: 
A,CNMIGRATRT,EE	2.4 	7.8 	8.0 	9.6 	9.0 	8.7 	5.1 	3.2 	7.3 	5.3 	7.7 	7.1 	5.7 	5.0 	4.0 	4.0 	3.8 	4.5 	3.1 	2.7 	4.1 	4.2 	3.6 	2.7 	3.0 	4.1 	4.0 	3.2 	0.7 	-0.5 	-3.6 	-8.1 	-27.1 	-19.0 	-14.3 	-10.8 	-9.5 	-4.9 	-4.7 	20.2 	-2.3 	-2.4 	-2.2 	-2.8 	-2.7 	-3.8 	-4.0 	-2.1 	-1.5 	-1.6 	-2.8 	-2.9 	-2.8 	-2.0 	-0.5 	1.8 b	0.8 	4.0 	5.3 	4.1 	2.8 	5.3 	29.5 	10.1 	1.0 	: 
A,CNMIGRATRT,EL	-4.1 	-2.0 	-6.6 	-5.8 	-6.4 	-3.9 	-1.3 	-3.0 	-4.4 	-7.6 	-5.3 	-1.8 	-0.1 	-4.7 	-2.2 	6.5 	10.6 	2.0 	10.6 	0.6 	5.8 	0.2 	1.3 	0.9 	1.0 	0.6 	1.5 	2.0 	2.7 	5.3 	14.1 	8.5 	5.6 	5.2 	3.8 	4.8 	3.9 	5.8 	5.3 	2.8 	5.8 	4.8 	2.6 	2.4 	2.6 	2.9 	2.2 	2.1 	2.1 	1.3 	-0.1 	-2.9 	-6.0 	-5.4 	-4.3 	-4.2 	1.0 	0.8 	1.6 	3.3 	0.6 	-15.0 b	1.6 	4.1 	6.4 ep	: 
A,CNMIGRATRT,ES	-4.7 	-2.7 	-4.1 	-3.3 	-3.0 	-1.6 	-3.0 	2.9 	-0.8 	-2.2 	2.1 	0.0 	0.0 	0.0 	0.0 	0.2 	0.1 	0.1 	0.0 	0.0 	0.2 	0.2 	-0.5 	-0.5 	-0.5 	-0.5 	-0.6 	-0.6 	-0.7 	-0.8 	-1.0 	2.9 	3.8 	3.8 	3.8 	3.8 	3.8 	3.8 	3.9 	3.9 	3.9 	7.9 	17.9 	15.7 	15.5 	14.5 	14.9 	17.2 	9.5 	3.0 	1.6 	1.4 	-3.0 	-5.4 	-2.2 	-0.1 	1.7 	3.8 	7.0 	9.7 	5.0 	4.2 	15.3 	13.4 	11.8 p	: 
A,CNMIGRATRT,FI	-2.1 	-2.6 	-1.6 	-1.7 	-4.4 	-4.6 	-2.7 	-1.2 	-3.2 	-8.8 	-7.9 	2.7 	2.7 	2.6 	1.2 	-0.8 	-2.5 	-1.2 	-1.9 	-1.4 	-0.5 	1.1 	1.4 	1.4 	0.8 	0.5 	0.3 	0.2 	0.3 	1.2 	1.7 	2.9 	1.8 	1.8 	0.7 	0.8 	0.8 	0.9 	0.9 	0.7 	0.5 	1.2 	1.0 	1.1 	1.3 	1.7 	2.0 	2.6 	2.9 	2.7 	2.6 	3.1 	3.3 	3.3 	2.8 	2.3 	3.1 	2.4 	2.1 	2.8 	3.2 	4.1 	6.1 	10.4 	8.3 	: 
A,CNMIGRATRT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	2.6 	2.7 	3.0 	3.1 	3.2 	3.2 	3.0 	1.8 	1.2 	0.9 	0.5 	0.6 	0.3 	1.1 	1.5 	0.5 b	-0.4 	-0.3 	0.8 	1.7 	0.6 	2.8 	2.2 p	2.0 p	2.2 p	2.2 p	: 
