freq,spdepb,spdepm,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,OLD,TOTAL,EUR_HAB_KP10,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	202.31 p	214.12 p	215.94 p	236.88 p	232.66 	: 
A,OLD,TOTAL,EUR_HAB_KP10,AT	: 	: 	: 	: 	: 	2338.05 	2396.83 	2419.88 	2488.58 	2607.02 	2697.35 	2744.17 	2790.8 	2857.69 	2908.91 	2958.3 	3063.62 	3148.19 	3262.88 	3392.75 	3456.77 	3458.26 	3546.01 	3621.95 	3719.16 	3769.42 	3792.66 	3823.36 	3883.41 	4039.4 	4081.42 	4196.82 	4122.36 	4143.35 
A,OLD,TOTAL,EUR_HAB_KP10,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	192.4 	208.85 	229.63 	238.33 	237.13 	276.17 	: 	: 	: 	311.57 	358 
A,OLD,TOTAL,EUR_HAB_KP10,BE	: 	: 	: 	: 	: 	2025.42 	2102.42 	2129.42 	2163.78 	2197.56 	2186.17 	2218.61 	2276.17 	2302.83 	2350.94 	2375.97 	2403.29 	2372.66 	2490.23 	2616.58 	2648.42 	2704.98 	2665.46 	2759.34 	2838.09 	2974.23 	2965.6 	3050.66 	3114.57 	3179.57 	3308.54 	3279.13 	3296.17 	3393.46 
A,OLD,TOTAL,EUR_HAB_KP10,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	206.8 	222.92 	229.65 	259.68 	317.89 	339.56 	338.38 	330.24 	362.72 	379.4 	394.12 	407.33 	410.95 	427.7 	434.75 	485.83 	506.49 	582.93 	669.05 
A,OLD,TOTAL,EUR_HAB_KP10,CH	: 	: 	: 	: 	: 	3450.12 	3497.35 	3624.19 	3798.34 	3935.96 	4013.87 	4147.95 	4194.23 	4277.76 	4041.62 	4080.91 	4084.58 	4228.11 	4252.06 	4482.61 	4527.08 	4700.86 	4851.4 	4953.48 	5070.3 	5235.6 	5309.78 	5343.3 	5373.93 	5507.88 	5634.32 	5701.45 	5468.56 p	5499.62 p
A,OLD,TOTAL,EUR_HAB_KP10,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	808.76 	858 	949.83 	1039.38 	1062.68 	1107.14 	1131.21 	1161.58 	1207.72 	1252.95 	1169.83 	1200.66 	1247.21 	1331 	1414.5 	1507.99 	1559.45 	1595.55 	1615.58 	1649.37 	1703.3 	1741.92 	1714.9 	1717 
A,OLD,TOTAL,EUR_HAB_KP10,CZ	: 	: 	: 	: 	: 	533.82 	582.4 	644.68 	646.02 	664.88 	672.31 	684.47 	728.03 	752.29 	770.6 	823.78 	852.25 	903.23 	936.68 	1004.76 	1009.61 	1050.65 	1076.14 	1102.17 	1114.73 	1128.84 	1141.91 	1154.35 	1175.44 	1240.92 	1323.61 	1326.24 	1282.82 	1362.98 
A,OLD,TOTAL,EUR_HAB_KP10,DE	: 	1742.21 	1845.6 	1886.05 	1974.17 	2066.51 	2123.5 	2185.9 	2259.23 	2318.81 	2391.54 	2453.22 	2505.59 	2550.19 	2593.63 	2624.22 	2652.5 	2672.29 	2699.9 	2782.18 	2790.25 	2809.37 	2821.76 	2828.42 	2924.41 	3026.01 	3110.52 	3161.8 	3221.97 	3329.61 	3444.94 	3445.16 	3383.76 	3356.08 p
A,OLD,TOTAL,EUR_HAB_KP10,DK	1927.71 	1976.89 	2020.62 	2087.27 	2554.93 	2556.85 	2570.19 	2565.74 	2575.6 	2600.53 	2633.68 	2699.46 	2741.5 	2834.11 	2912.2 	3124.7 	3219.39 	3570.3 b	3540.36 	3712.23 	3750.45 	3869.63 	3932.43 	4346.25 	4612.26 	4628.46 	4483.03 	4667.01 	4777.25 	4916.23 	4883.23 	4734.71 	4514.91 	4490.6 p
A,OLD,TOTAL,EUR_HAB_KP10,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	396.35 	390.57 	320.98 	345.23 	378.57 	408.62 	436.07 	493.64 	526.9 	593.74 	641.6 	715.72 	593.03 	597.43 	603.34 	628.63 	666.51 	679.13 	674.69 	700.39 	732.25 	805.22 	813.46 	742.08 	764.2 
A,OLD,TOTAL,EUR_HAB_KP10,EL	: 	: 	: 	: 	: 	956.12 	1004.45 	1051.04 	1159.72 	1200.24 	1408.24 b	1519.38 	1599.25 	1674.1 	1803.07 	1909.02 	2022.7 	2092.41 	2245.89 	2349.41 	2265.21 	2287.9 	2310.6 	2118.88 	2233.76 	2409.79 	2399.22 	2318.17 	2272.3 	2313.43 	2315.03 	2352.41 	2238.62 	2294.78 p
